"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 21 21:26:25 GMT 2022","Sun Aug 21 21:26:25 GMT 2022","1","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomerNotFound","Test Get Customer not found","Test Get Customer not foundAcceptance Criteria = 422 Success"
"broken","Sun Aug 21 21:26:26 GMT 2022","Sun Aug 21 21:26:26 GMT 2022","4","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerSurnameNull","Test Create Customer surname is null","Test Create Customer surname is null Acceptance Criteria = 400 Success"
"broken","Sun Aug 21 21:26:31 GMT 2022","Sun Aug 21 21:26:31 GMT 2022","1","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountInitialZero","Test Create Account initial Zero","Test Create Account initial ZeroAcceptance Criteria = 200 Success"
"broken","Sun Aug 21 21:26:28 GMT 2022","Sun Aug 21 21:26:28 GMT 2022","1","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerNameNull","Test Create Customer name is null","Test Create Customer name is null Acceptance Criteria = 400 Success"
"broken","Sun Aug 21 21:26:33 GMT 2022","Sun Aug 21 21:26:33 GMT 2022","1","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountCustomerNotFound","Test Create Account Customer Not Found","Test Create Account Customer Not FoundAcceptance Criteria = 422 Unprocessable Entity"
"broken","Sun Aug 21 21:26:32 GMT 2022","Sun Aug 21 21:26:32 GMT 2022","1","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccount","Test Create Account","Test Create Account Acceptance Criteria = 200 Success"
"broken","Sun Aug 21 21:26:29 GMT 2022","Sun Aug 21 21:26:29 GMT 2022","0","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomer","Test Create Customer","Test Create Customer Acceptance Criteria = 200 Success"
"broken","Sun Aug 21 21:26:30 GMT 2022","Sun Aug 21 21:26:30 GMT 2022","1","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomer","Test Get Customer","Test Get Customer Acceptance Criteria = 200 Success"
"passed","Sun Aug 21 21:26:23 GMT 2022","Sun Aug 21 21:26:24 GMT 2022","759","","com.example.accountengine.ApplicationTests","","com.example.accountengine.ApplicationTests","initialize","initialize()",""
